id_voie,jour,n_jour,mois,annee,heure,evenement,meteo,debit,vitesse
1329,3,1,1,2015,0,1,1,153.9,44.65
1329,3,1,1,2015,1,0,0,74.0,41.0
1329,3,1,1,2015,2,0,0,135.0,47.0
1329,3,1,1,2015,3,4,0,79.2,24.6
1329,3,1,1,2015,4,0,3,68.87,41.71
1329,3,1,1,2015,5,0,0,479.0,48.0
1329,3,1,1,2015,6,0,0,771.0,36.0
1329,3,1,1,2015,7,0,2,683.06,46.06
1329,3,1,1,2015,8,0,2,512.54,42.14
1329,3,1,1,2015,9,0,0,718.0,21.0
1329,3,1,1,2015,10,0,3,668.33,45.59
1329,3,1,1,2015,11,0,1,643.5,27.72
1329,3,1,1,2015,12,0,0,630.0,45.0
1329,3,1,1,2015,13,0,0,715.0,22.0
1329,3,1,1,2015,14,0,3,560.66,27.16
1329,3,1,1,2015,15,0,0,511.0,40.0
1329,3,1,1,2015,16,0,2,457.66,27.44
1329,3,1,1,2015,17,0,0,731.0,23.0
1329,3,1,1,2015,18,0,0,476.0,26.0
1329,3,1,1,2015,19,0,0,685.0,45.0
1329,3,1,1,2015,20,0,2,514.5,22.54
1329,3,1,1,2015,21,0,3,573.27,21.34
1329,3,1,1,2015,22,0,1,503.91,26.73
1329,3,1,1,2015,23,0,0,796.0,48.0
1329,4,2,1,2015,0,0,0,22.0,41.0
1329,4,2,1,2015,1,0,0,98.0,49.0
1329,4,2,1,2015,2,0,0,45.0,46.0
1329,4,2,1,2015,3,0,1,97.02,45.54
1329,4,2,1,2015,4,2,0,73.8,36.9
1329,4,2,1,2015,5,0,0,698.0,34.0
1329,4,2,1,2015,6,0,3,616.92,24.25
1329,4,2,1,2015,7,0,0,468.0,49.0
1329,4,2,1,2015,8,0,0,498.0,24.0
1329,4,2,1,2015,9,0,0,655.0,41.0
1329,4,2,1,2015,10,0,0,426.0,20.0
1329,4,2,1,2015,11,0,0,507.0,23.0
1329,4,2,1,2015,12,0,2,506.66,32.34
1329,4,2,1,2015,13,0,0,460.0,41.0
1329,4,2,1,2015,14,0,0,438.0,35.0
1329,4,2,1,2015,15,0,0,466.0,27.0
1329,4,2,1,2015,16,0,0,457.0,23.0
1329,4,2,1,2015,17,0,0,616.0,33.0
1329,4,2,1,2015,18,0,1,464.31,29.7
1329,4,2,1,2015,19,0,0,724.0,37.0
1329,4,2,1,2015,20,0,1,494.01,35.64
1329,4,2,1,2015,21,0,1,593.01,33.66
1329,4,2,1,2015,22,0,0,651.0,24.0
1329,4,2,1,2015,23,0,0,447.0,31.0
1329,5,3,1,2015,0,0,0,54.0,48.0
1329,5,3,1,2015,1,0,3,68.87,47.53
1329,5,3,1,2015,2,0,0,171.0,46.0
1329,5,3,1,2015,3,0,0,164.0,43.0
1329,5,3,1,2015,4,0,0,49.0,41.0
1329,5,3,1,2015,5,0,0,678.0,33.0
1329,5,3,1,2015,6,0,0,521.0,26.0
1329,5,3,1,2015,7,0,0,799.0,22.0
1329,5,3,1,2015,8,0,3,558.72,28.13
1329,5,3,1,2015,9,0,3,750.78,34.92
1329,5,3,1,2015,10,4,1,297.36,23.6
1329,5,3,1,2015,11,0,2,770.28,28.42
1329,5,3,1,2015,12,0,0,450.0,33.0
1329,5,3,1,2015,13,0,0,503.0,39.0
1329,5,3,1,2015,14,0,2,640.92,36.26
1329,5,3,1,2015,15,0,0,439.0,46.0
1329,5,3,1,2015,16,0,0,637.0,25.0
1329,5,3,1,2015,17,0,0,663.0,25.0
1329,5,3,1,2015,18,0,0,462.0,38.0
1329,5,3,1,2015,19,0,0,504.0,35.0
1329,5,3,1,2015,20,0,0,700.0,47.0
1329,5,3,1,2015,21,0,1,454.41,29.7
1329,5,3,1,2015,22,0,0,767.0,44.0
1329,5,3,1,2015,23,0,0,576.0,36.0
1329,6,4,1,2015,0,0,0,155.0,48.0
1329,6,4,1,2015,1,0,0,76.0,45.0
1329,6,4,1,2015,2,0,0,15.0,42.0
1329,6,4,1,2015,3,0,0,187.0,44.0
1329,6,4,1,2015,4,0,0,104.0,47.0
1329,6,4,1,2015,5,0,0,473.0,42.0
1329,6,4,1,2015,6,0,0,532.0,33.0
1329,6,4,1,2015,7,1,0,387.84,44.16
1329,6,4,1,2015,8,0,0,490.0,44.0
1329,6,4,1,2015,9,0,0,469.0,21.0
1329,6,4,1,2015,10,0,0,734.0,20.0
1329,6,4,1,2015,11,0,2,735.0,19.6
1329,6,4,1,2015,12,2,1,563.37,40.94
1329,6,4,1,2015,13,0,3,539.32,19.4
1329,6,4,1,2015,14,0,0,490.0,48.0
1329,6,4,1,2015,15,0,3,597.52,47.53
1329,6,4,1,2015,16,0,0,726.0,27.0
1329,6,4,1,2015,17,0,3,671.24,44.62
1329,6,4,1,2015,18,0,0,568.0,35.0
1329,6,4,1,2015,19,0,0,580.0,37.0
1329,6,4,1,2015,20,0,0,452.0,30.0
1329,6,4,1,2015,21,0,3,653.78,44.62
1329,6,4,1,2015,22,0,2,547.82,32.34
1329,6,4,1,2015,23,0,2,587.02,46.06
1329,0,5,1,2015,0,0,3,10.67,39.77
1329,0,5,1,2015,1,0,3,94.09,41.71
1329,0,5,1,2015,2,1,0,54.72,41.28
1329,0,5,1,2015,3,0,0,107.0,44.0
1329,0,5,1,2015,4,0,2,45.08,41.16
1329,0,5,1,2015,5,0,1,631.62,24.75
1329,0,5,1,2015,6,0,0,473.0,48.0
1329,0,5,1,2015,7,0,0,434.0,34.0
1329,0,5,1,2015,8,0,0,723.0,35.0
1329,0,5,1,2015,9,0,3,669.3,47.53
1329,0,5,1,2015,10,0,0,490.0,42.0
1329,0,5,1,2015,11,0,0,610.0,28.0
1329,0,5,1,2015,12,0,0,776.0,23.0
1329,0,5,1,2015,13,0,3,650.87,32.98
1329,0,5,1,2015,14,0,2,429.24,39.2
1329,0,5,1,2015,15,0,0,772.0,26.0
1329,0,5,1,2015,16,0,0,624.0,22.0
1329,0,5,1,2015,17,0,0,579.0,36.0
1329,0,5,1,2015,18,0,0,699.0,39.0
1329,0,5,1,2015,19,0,0,400.0,22.0
1329,0,5,1,2015,20,0,0,666.0,47.0
1329,0,5,1,2015,21,0,0,669.0,39.0
1329,0,5,1,2015,22,0,0,782.0,25.0
1329,0,5,1,2015,23,0,0,741.0,22.0
1329,1,6,1,2015,0,4,2,103.82,26.1
1329,1,6,1,2015,1,0,0,50.0,47.0
1329,1,6,1,2015,2,0,0,61.0,49.0
1329,1,6,1,2015,3,2,0,54.0,36.9
1329,1,6,1,2015,4,2,0,138.6,39.6
1329,1,6,1,2015,5,0,3,690.64,33.95
1329,1,6,1,2015,6,0,0,457.0,44.0
1329,1,6,1,2015,7,0,0,621.0,43.0
1329,1,6,1,2015,8,0,0,514.0,37.0
1329,1,6,1,2015,9,2,1,665.72,27.59
1329,1,6,1,2015,10,0,0,721.0,48.0
1329,1,6,1,2015,11,0,0,774.0,41.0
1329,1,6,1,2015,12,0,0,742.0,38.0
1329,1,6,1,2015,13,0,3,410.31,45.59
1329,1,6,1,2015,14,0,2,549.78,36.26
1329,1,6,1,2015,15,0,0,447.0,23.0
1329,1,6,1,2015,16,3,1,453.46,18.96
1329,1,6,1,2015,17,0,0,577.0,33.0
1329,1,6,1,2015,18,4,0,440.4,16.2
1329,1,6,1,2015,19,0,0,659.0,45.0
1329,1,6,1,2015,20,1,0,749.76,20.16
1329,1,6,1,2015,21,2,0,388.8,42.3
1329,1,6,1,2015,22,0,0,540.0,32.0
1329,1,6,1,2015,23,0,0,726.0,21.0
1329,2,7,1,2015,0,0,0,57.0,44.0
1329,2,7,1,2015,1,0,0,121.0,40.0
1329,2,7,1,2015,2,0,0,74.0,46.0
1329,2,7,1,2015,3,0,3,184.3,39.77
1329,2,7,1,2015,4,0,0,96.0,43.0
1329,2,7,1,2015,5,0,2,632.1,40.18
1329,2,7,1,2015,6,0,0,534.0,24.0
1329,2,7,1,2015,7,0,1,552.42,37.62
1329,2,7,1,2015,8,0,0,552.0,43.0
1329,2,7,1,2015,9,0,0,703.0,34.0
1329,2,7,1,2015,10,0,0,409.0,24.0
1329,2,7,1,2015,11,0,0,492.0,29.0
1329,2,7,1,2015,12,0,0,718.0,25.0
1329,2,7,1,2015,13,0,0,439.0,33.0
1329,2,7,1,2015,14,0,0,762.0,20.0
1329,2,7,1,2015,15,0,2,701.68,29.4
1329,2,7,1,2015,16,0,3,530.59,35.89
1329,2,7,1,2015,17,0,0,420.0,48.0
1329,2,7,1,2015,18,0,0,544.0,20.0
1329,2,7,1,2015,19,1,0,707.52,30.72
1329,2,7,1,2015,20,0,0,760.0,22.0
1329,2,7,1,2015,21,1,0,493.44,30.72
1329,2,7,1,2015,22,0,0,770.0,35.0
1329,2,7,1,2015,23,0,0,436.0,26.0
1329,3,8,1,2015,0,0,3,95.06,39.77
1329,3,8,1,2015,1,0,0,16.0,43.0
1329,3,8,1,2015,2,0,2,88.2,45.08
1329,3,8,1,2015,3,0,0,193.0,40.0
1329,3,8,1,2015,4,0,0,135.0,46.0
1329,3,8,1,2015,5,0,0,491.0,30.0
1329,3,8,1,2015,6,0,2,472.36,42.14
1329,3,8,1,2015,7,0,0,790.0,35.0
1329,3,8,1,2015,8,0,0,675.0,25.0
1329,3,8,1,2015,9,0,0,586.0,43.0
1329,3,8,1,2015,10,0,0,491.0,49.0
1329,3,8,1,2015,11,0,3,517.01,29.1
1329,3,8,1,2015,12,3,0,602.4,16.0
1329,3,8,1,2015,13,0,0,746.0,26.0
1329,3,8,1,2015,14,0,1,409.86,35.64
1329,3,8,1,2015,15,0,0,538.0,41.0
1329,3,8,1,2015,16,0,0,782.0,49.0
1329,3,8,1,2015,17,0,0,697.0,48.0
1329,3,8,1,2015,18,0,0,521.0,43.0
1329,3,8,1,2015,19,0,0,793.0,49.0
1329,3,8,1,2015,20,0,0,420.0,22.0
1329,3,8,1,2015,21,0,0,491.0,22.0
1329,3,8,1,2015,22,0,0,421.0,25.0
1329,3,8,1,2015,23,0,3,511.19,33.95
1329,4,9,1,2015,0,0,0,59.0,44.0
1329,4,9,1,2015,1,0,2,192.08,40.18
1329,4,9,1,2015,2,0,0,26.0,45.0
1329,4,9,1,2015,3,0,0,18.0,45.0
1329,4,9,1,2015,4,0,2,179.34,39.2
1329,4,9,1,2015,5,0,0,589.0,22.0
1329,4,9,1,2015,6,0,0,424.0,44.0
1329,4,9,1,2015,7,0,0,551.0,24.0
1329,4,9,1,2015,8,2,0,369.9,31.5
1329,4,9,1,2015,9,2,1,595.41,23.14
1329,4,9,1,2015,10,0,0,599.0,32.0
1329,4,9,1,2015,11,0,0,533.0,39.0
1329,4,9,1,2015,12,0,2,473.34,36.26
